"","totphys_3m","totnonphys_3m","totwork_3m","totschool_3m","totother_3m","tothome_3m","totcon_all_3m","AGE_I","GENDER_I","INCOME_I","RACE_ETHNICITY_I","totphys","totnonphys","totwork","totschool","totother","tothome","totcon_all","WTFinal_US_M3_AbIGg"
"2864",5,0,0,0,0,5,5,3,2,2,2,7,7,8,0,1,5,14,8855.89397006005
"2865",2,0,0,0,2,0,2,5,1,7,2,1,2,0,0,0,3,3,10208.3700571296
"2866",13,1,0,0,3,11,14,3,2,2,2,32,8,0,0,33,7,40,23764.0454916444
"2867",1,3,3,0,0,1,4,1,1,1,2,3,3,0,0,5,1,6,2903.73035779999
"2868",0,0,0,0,0,0,0,6,2,3,2,1,1,0,0,1,1,2,1177.15080176817
"2869",1,0,0,0,0,1,1,4,2,5,3,62,56,91,0,25,2,118,6622.40821929893
"2870",25,82,84,0,20,3,107,3,1,6,2,12,10,0,0,19,3,22,44957.8158927452
"2871",2,1,0,0,0,3,3,5,2,6,2,2,3,0,0,3,2,5,5233.7353996827
"2872",0,1,1,0,0,0,1,5,2,3,1,5,13,15,0,3,0,18,4121.77477939063
"2873",0,0,0,0,0,0,0,6,2,5,2,0,0,0,0,0,0,0,12031.2267546616
"2874",11,28,38,0,0,1,39,6,1,7,2,1,2,0,0,2,1,3,8341.97581308964
"2875",0,0,0,0,0,0,0,3,1,5,2,7,0,2,2,1,2,7,9170.04056811148
"2876",2,0,1,0,0,1,2,5,1,6,2,1,0,0,0,0,1,1,5387.81534141529
"2877",4,1,1,0,1,3,5,4,2,5,2,5,1,0,0,2,4,6,11288.099216268
"2878",4,16,9,3,0,8,20,3,2,3,2,3,18,15,0,0,6,21,2273.56514406552
"2879",3,0,0,0,1,2,3,6,2,4,2,14,0,0,0,14,0,14,2949.04937561514
"2880",3,6,0,0,5,4,9,6,2,6,2,0,2,0,0,2,0,2,3371.93066147568
"2881",7,7,0,0,8,6,14,1,2,4,2,0,4,2,0,1,1,4,4732.43490666016
"2882",13,16,0,18,6,5,29,4,2,5,4,0,6,0,6,0,0,6,12760.1820793906
